Race_ID,Driver,LapNumber,Finishing_Tier,GridPosition,Tire_Age,Fuel_Mass_Proxy,Degradation_x_Fuel,Tire_MEDIUM,Tire_SOFT
2023_Bahrain,PER,43.0,Podium,2.0,9.0,27.017543859649123,171.75409113060422,0,0
2023_Bahrain,PER,44.0,Podium,2.0,10.0,25.087719298245617,152.30832115009738,0,0
2023_Bahrain,PER,45.0,Podium,2.0,11.0,23.15789473684211,129.00290204678356,0,0
2023_Bahrain,PER,46.0,Podium,2.0,12.0,21.228070175438603,101.83783382066271,0,0
2023_Bahrain,PER,47.0,Podium,2.0,13.0,19.298245614035082,70.81311647173487,0,0
2023_Bahrain,PER,48.0,Podium,2.0,14.0,17.368421052631575,35.92874999999999,0,0
2023_Bahrain,PER,49.0,Podium,2.0,15.0,15.438596491228068,-2.8152655945419176,0,0
2023_Bahrain,PER,50.0,Podium,2.0,16.0,13.508771929824562,-45.41893031189083,0,0
2023_Bahrain,PER,51.0,Podium,2.0,17.0,11.578947368421055,-91.88224415204677,0,0
2023_Bahrain,PER,52.0,Podium,2.0,18.0,9.649122807017548,-142.2052071150097,0,0
2023_Bahrain,PER,53.0,Podium,2.0,19.0,7.719298245614041,-196.38781920077966,0,0
2023_Bahrain,PER,54.0,Podium,2.0,20.0,5.78947368421052,-254.43008040935672,0,0
2023_Bahrain,PER,55.0,Podium,2.0,21.0,3.8596491228070136,-316.3319907407407,0,0
2023_Bahrain,PER,56.0,Podium,2.0,22.0,1.9298245614035068,-382.0935501949317,0,0
2023_Bahrain,PER,57.0,Podium,2.0,23.0,0.0,-451.7147587719297,0,0
2023_Bahrain,ALO,1.0,Point Scorer,5.0,4.0,108.0701754385965,-569.3918153021444,0,1
2023_Bahrain,ALO,2.0,Point Scorer,5.0,5.0,106.14035087719299,-498.1358308966863,0,1
2023_Bahrain,ALO,3.0,Point Scorer,5.0,6.0,104.21052631578948,-430.7394956140352,0,1
2023_Bahrain,ALO,4.0,Point Scorer,5.0,7.0,102.28070175438596,-367.2028094541911,0,1
2023_Bahrain,ALO,5.0,Point Scorer,5.0,8.0,100.35087719298245,-307.52577241715403,0,1
2023_Bahrain,ALO,6.0,Point Scorer,5.0,9.0,98.42105263157895,-251.70838450292402,0,1
2023_Bahrain,ALO,7.0,Point Scorer,5.0,10.0,96.49122807017544,-199.75064571150102,0,1
2023_Bahrain,ALO,8.0,Point Scorer,5.0,11.0,94.56140350877193,-151.65255604288504,0,1
2023_Bahrain,ALO,9.0,Point Scorer,5.0,12.0,92.63157894736842,-107.41411549707605,0,1
2023_Bahrain,ALO,10.0,Point Scorer,5.0,13.0,90.7017543859649,-67.03532407407407,0,1
2023_Bahrain,ALO,11.0,Point Scorer,5.0,14.0,88.7719298245614,-30.51618177387914,0,1
2023_Bahrain,ALO,12.0,Point Scorer,5.0,15.0,86.84210526315789,2.1433114035087786,0,1
2023_Bahrain,ALO,13.0,Point Scorer,5.0,16.0,84.91228070175438,30.943155458089684,0,1
2023_Bahrain,ALO,14.0,Point Scorer,5.0,17.0,82.98245614035088,55.88335038986357,0,1
2023_Bahrain,ALO,15.0,Point Scorer,5.0,1.0,81.05263157894737,-349.2976827485382,0,0
2023_Bahrain,ALO,16.0,Point Scorer,5.0,2.0,79.12280701754386,-299.26976851851873,0,0
2023_Bahrain,ALO,17.0,Point Scorer,5.0,3.0,77.19298245614036,-253.10150341130625,0,0
2023_Bahrain,ALO,18.0,Point Scorer,5.0,4.0,75.26315789473685,-210.7928874269008,0,0
2023_Bahrain,ALO,19.0,Point Scorer,5.0,5.0,73.33333333333334,-172.34392056530234,0,0
2023_Bahrain,ALO,20.0,Point Scorer,5.0,6.0,71.40350877192982,-137.7546028265108,0,0
2023_Bahrain,ALO,21.0,Point Scorer,5.0,7.0,69.47368421052632,-107.0249342105264,0,0
2023_Bahrain,ALO,22.0,Point Scorer,5.0,8.0,67.54385964912281,-80.15491471734902,0,0
2023_Bahrain,ALO,23.0,Point Scorer,5.0,9.0,65.6140350877193,-57.14454434697864,0,0
2023_Bahrain,ALO,24.0,Point Scorer,5.0,10.0,63.68421052631579,-37.99382309941525,0,0
2023_Bahrain,ALO,25.0,Point Scorer,5.0,11.0,61.75438596491228,-22.702750974658915,0,0
2023_Bahrain,ALO,26.0,Point Scorer,5.0,12.0,59.824561403508774,-11.27132797270959,0,0
2023_Bahrain,ALO,27.0,Point Scorer,5.0,13.0,57.89473684210526,-3.6995540935672673,0,0
2023_Bahrain,ALO,28.0,Point Scorer,5.0,14.0,55.96491228070175,0.012570662768021493,0,0
2023_Bahrain,ALO,29.0,Point Scorer,5.0,15.0,54.03508771929825,-0.13495370370370321,0,0
2023_Bahrain,ALO,30.0,Point Scorer,5.0,16.0,52.10526315789474,-4.142127192982442,0,0
2023_Bahrain,ALO,31.0,Point Scorer,5.0,17.0,50.175438596491226,-12.008949805068209,0,0
2023_Bahrain,ALO,32.0,Point Scorer,5.0,18.0,48.24561403508772,-23.73542153996098,0,0
2023_Bahrain,ALO,33.0,Point Scorer,5.0,19.0,46.31578947368421,-39.321542397660764,0,0
2023_Bahrain,ALO,34.0,Podium,5.0,20.0,44.3859649122807,-58.7673123781676,0,0
2023_Bahrain,ALO,35.0,Point Scorer,5.0,1.0,42.45614035087719,188.3728825536061,0,0
2023_Bahrain,ALO,36.0,Point Scorer,5.0,2.0,40.526315789473685,199.8043055555554,0,0
2023_Bahrain,ALO,37.0,Point Scorer,5.0,3.0,38.59649122807018,207.3760794346977,0,0
2023_Bahrain,ALO,38.0,Point Scorer,5.0,4.0,36.66666666666667,211.08820419103296,0,0
2023_Bahrain,ALO,39.0,Point Scorer,5.0,5.0,34.736842105263165,210.94067982456122,0,0
2023_Bahrain,ALO,40.0,Point Scorer,5.0,6.0,32.807017543859644,206.9335063352826,0,0
2023_Bahrain,ALO,41.0,Point Scorer,5.0,7.0,30.877192982456137,199.0666837231968,0,0
2023_Bahrain,ALO,42.0,Point Scorer,5.0,8.0,28.94736842105263,187.34021198830402,0,0
2023_Bahrain,ALO,43.0,Point Scorer,5.0,9.0,27.017543859649123,171.75409113060422,0,0
2023_Bahrain,ALO,44.0,Point Scorer,5.0,10.0,25.087719298245617,152.30832115009738,0,0
2023_Bahrain,ALO,45.0,Podium,5.0,11.0,23.15789473684211,129.00290204678356,0,0
2023_Bahrain,ALO,46.0,Podium,5.0,12.0,21.228070175438603,101.83783382066271,0,0
2023_Bahrain,ALO,47.0,Podium,5.0,13.0,19.298245614035082,70.81311647173487,0,0
2023_Bahrain,ALO,48.0,Podium,5.0,14.0,17.368421052631575,35.92874999999999,0,0
2023_Bahrain,ALO,49.0,Podium,5.0,15.0,15.438596491228068,-2.8152655945419176,0,0
2023_Bahrain,ALO,50.0,Podium,5.0,16.0,13.508771929824562,-45.41893031189083,0,0
2023_Bahrain,ALO,51.0,Podium,5.0,17.0,11.578947368421055,-91.88224415204677,0,0
2023_Bahrain,ALO,52.0,Podium,5.0,18.0,9.649122807017548,-142.2052071150097,0,0
2023_Bahrain,ALO,53.0,Podium,5.0,19.0,7.719298245614041,-196.38781920077966,0,0
2023_Bahrain,ALO,54.0,Podium,5.0,20.0,5.78947368421052,-254.43008040935672,0,0
2023_Bahrain,ALO,55.0,Podium,5.0,21.0,3.8596491228070136,-316.3319907407407,0,0
2023_Bahrain,ALO,56.0,Podium,5.0,22.0,1.9298245614035068,-382.0935501949317,0,0
2023_Bahrain,ALO,57.0,Podium,5.0,23.0,0.0,-451.7147587719297,0,0
2023_Bahrain,LEC,1.0,No Points,3.0,1.0,108.0701754385965,-725.6670784600392,0,1
2023_Bahrain,LEC,2.0,No Points,3.0,2.0,106.14035087719299,-648.6216203703706,0,1
2023_Bahrain,LEC,3.0,No Points,3.0,3.0,104.21052631578948,-575.435811403509,0,1
2023_Bahrain,LEC,4.0,No Points,3.0,4.0,102.28070175438596,-506.1096515594542,0,1
2023_Bahrain,LEC,5.0,No Points,3.0,5.0,100.35087719298245,-440.6431408382067,0,1
2023_Bahrain,LEC,6.0,No Points,3.0,6.0,98.42105263157895,-379.03627923976615,0,1
2023_Bahrain,LEC,7.0,No Points,3.0,7.0,96.49122807017544,-321.28906676413266,0,1
2023_Bahrain,LEC,8.0,No Points,3.0,8.0,94.56140350877193,-267.4015034113061,0,1
2023_Bahrain,LEC,9.0,No Points,3.0,9.0,92.63157894736842,-217.37358918128663,0,1
2023_Bahrain,LEC,10.0,No Points,3.0,10.0,90.7017543859649,-171.20532407407407,0,1
